buy_date,sell_date,symbol,buy_price,sell_price,profit,status
2024-10-24,2024-10-28,SNY,51.3,54.18,0.056,Successful
2024-10-23,2024-10-29,VFC,17.25,20.31,0.177,Successful
2024-10-14,2024-10-21,MPW,4.61,4.96,0.076,Successful
2024-10-11,2024-10-21,MPW,4.8,4.96,0.033,Successful
2024-10-11,2024-10-24,ADMA,16.5,15.77,-0.044,Unsuccessful
2024-10-10,2024-10-21,MPW,5.01,4.96,-0.01,Unsuccessful
2024-09-04,2024-09-11,NVDA,104.76,109.39,0.044,Successful
2024-09-04,2024-09-12,APH,58.0,62.14,0.071,Successful
2024-09-04,2024-09-13,FL,28.13,25.97,-0.077,Unsuccessful
2024-08-07,2024-08-12,WPM,53.36,56.02,0.05,Successful
2024-08-06,2024-08-14,CG,39.68,40.63,0.024,Successful
2024-08-06,2024-08-15,EXK,3.06,2.91,-0.049,Unsuccessful
2024-08-06,2024-08-16,SFIX,3.62,3.42,-0.055,Unsuccessful
2024-08-05,2024-08-07,CAT,309.0,333.51,0.079,Successful
2024-08-05,2024-08-07,RCL,132.73,152.8,0.151,Successful
2024-08-05,2024-08-07,TME,11.67,13.66,0.171,Successful
2024-08-05,2024-08-08,SU,35.56,38.94,0.095,Successful
2024-08-05,2024-08-09,ADI,201.72,209.95,0.041,Successful
2024-08-05,2024-08-09,AEG,5.77,5.99,0.038,Successful
2024-08-05,2024-08-09,AIG,69.81,72.07,0.032,Successful
2024-08-05,2024-08-09,CDE,4.73,5.5,0.163,Successful
2024-08-05,2024-08-09,FHN,14.7,14.93,0.016,Successful
2024-08-05,2024-08-09,GTE,7.33,7.87,0.074,Successful
2024-08-05,2024-08-09,HL,4.49,5.08,0.131,Successful
2024-08-05,2024-08-09,HPQ,32.58,32.86,0.009,Successful
2024-08-05,2024-08-09,IMUX,1.21,1.35,0.116,Successful
2024-08-05,2024-08-09,JPM,193.17,203.47,0.053,Successful
2024-08-05,2024-08-09,KEY,13.87,14.54,0.048,Successful
2024-08-05,2024-08-09,KKR,101.81,113.49,0.115,Successful
2024-08-05,2024-08-09,LYG,2.71,2.85,0.052,Successful
2024-08-05,2024-08-09,MET,68.44,69.65,0.018,Successful
2024-08-05,2024-08-09,MFC,23.63,24.86,0.052,Successful
